error_type,id,gold,pred,jaccard,length_bucket,sentence1,sentence2
FP_high_overlap,38396 911e630d-79cc-43c6-9933-8bc36595b1cf,0,1,1.0000,long-long,What advantages are there to being a female relative to being a male?,What advantages are there to being a male relative to being a female?
FP_high_overlap,203783 381bed5c-9b51-419a-8665-c7c8187d044b,0,1,1.0000,long-long,How can I connect my laptop to the internet through my Android phone?,How can I connect my android phone to the internet through my laptop?
FP_high_overlap,236250 eb289241-d684-4795-9d79-f5f9b8b28c2b,0,1,1.0000,short-short,If you were a farmer what would you grow?,"If you were a farmer, what would you grow?"
FP_high_overlap,367305 a9a0a941-6949-494d-a43c-bc7a8d4671bb,0,1,1.0000,short-short,What is your impression of China? 你对中国的印象如何？,What is your impression of China?
FP_high_overlap,154886 c5a6626e-a1ce-4c39-b09c-8abd67f30496,0,1,1.0000,short-short,What type of guys do girls like?,What type of girls do guys like?
FP_high_overlap,149351 d0e326d0-789d-49c0-8bec-297fef85ce87,0,1,1.0000,long-long,Is competitive bidding legal in industrial sector? If so are there any restrictions in doing so?,Is competitive bidding is legal in industrial sector? If so are there any restrictions in doing so?
FP_high_overlap,217339 b5bbda08-7c8d-40c5-8794-e7d9b34cdbe9,0,1,1.0000,long-long,What's the best way to get from Union Station to Dulles?,What's the best way to get from Dulles to Union Station?
FP_high_overlap,189773 14ae653b-605c-4314-9044-63c74ca907c3,0,1,1.0000,long-long,"What positive things (stereotypes, cliches, thoughts, memories) can Armenians share about Azerbaijanis?","What positive things (stereotypes, cliches, thoughts, memories) can Azerbaijanis share about Armenians?"
FP_high_overlap,6591 97623fc4-92b5-449b-b020-0dc09167c35f,0,1,1.0000,short-short,How has Disney's culture changed since the Pixar acquisition?,How has Pixar's culture changed since the Disney acquisition?
FP_high_overlap,51611 4b9294c2-c4f9-4c8e-aea8-db47f8bb5242,0,1,1.0000,short-short,What is the difference between eddy current loss & hysteresis loss?,What is the difference between Hysteresis loss & Eddy current loss?
FP_high_overlap,144862 eb60262e-eb8a-4afa-afae-4f25b3da6084,0,1,1.0000,short-short,Do women cheat more than men?,Do more women cheat than men?
FP_high_overlap,99398 bb37b3c9-5a82-4932-8687-81e37539f0a0,0,1,1.0000,short-short,What kind of Asian guys do White girls like?,What kind of Asian girls do White guys like?
FP_high_overlap,357594 e58a195b-62c2-46f6-928f-4fa3668dc247,0,1,1.0000,short-short,I'm scared of death. What do I do?,I'm scared of death.What do I do?
FP_high_overlap,223951 a694ff78-a3b0-463e-8e63-83234d3e60c8,0,1,1.0000,short-short,Can you be suicidal without being depressed?,Can you be depressed without being suicidal?
FP_high_overlap,204211 9dae9d53-105a-46f1-bc13-5561cefec0ab,0,1,1.0000,short-short,Is moonshine illegal?  Why?,Why is moonshine illegal?
FP_high_overlap,158615 5447c82d-9eb2-412e-8c26-dfcf02ecad52,0,1,1.0000,long-long,What new paradigms do you think may be significant in the future of interactive computing? [,What new paradigms do you think may be significant in the future of interactive computing?
FP_high_overlap,318923 6d4437d2-ee0a-4f9d-a620-fb27b6011d37,0,1,1.0000,short-short,Should I choose my girlfriend or overseas education?,Should I choose my overseas education or girlfriend?
FP_high_overlap,329977 115ae2e6-05dc-423f-8c19-bd36ebe9ab47,0,1,1.0000,short-short,How is CoolPad Note 3 & CoolPad Note 3 lite?,How is coolpad note 3 lite?
