error_type,id,label,pred,jaccard,length_bucket,sentence1,sentence2
FP,51611 4b9294c2-c4f9-4c8e-aea8-db47f8bb5242,0,1,1.0,medium-medium,What is the difference between eddy current loss & hysteresis loss?,What is the difference between Hysteresis loss & Eddy current loss?
FP,149351 d0e326d0-789d-49c0-8bec-297fef85ce87,0,1,1.0,medium-long,Is competitive bidding legal in industrial sector? If so are there any restrictions in doing so?,Is competitive bidding is legal in industrial sector? If so are there any restrictions in doing so?
FP,144862 eb60262e-eb8a-4afa-afae-4f25b3da6084,0,1,1.0,short-short,Do women cheat more than men?,Do more women cheat than men?
FP,154886 c5a6626e-a1ce-4c39-b09c-8abd67f30496,0,1,1.0,short-short,What type of guys do girls like?,What type of girls do guys like?
FP,380819 94d88370-23c5-43f1-aeef-71d26c94b891,0,1,0.9375,medium-medium,How many hours should I charge my new Vivo X7 phone for the first time?,How many hours should I charge my new Vivo X7 phone for the first time? Request
FP,158615 5447c82d-9eb2-412e-8c26-dfcf02ecad52,0,1,0.9375,medium-medium,What new paradigms do you think may be significant in the future of interactive computing? [,What new paradigms do you think may be significant in the future of interactive computing?
FP,363926 a0069102-f0f0-4342-8909-a407165d7eb2,0,1,0.9285714285714286,medium-medium,What are the first signs of a homosexual person turning straight or bisexual?,What are the first signs of a straight person turning into a homosexual or bisexual?
FP,190305 ad4311db-040c-4961-8547-22249e8d5cf9,0,1,0.9285714285714286,medium-medium,Which people should I meet in New York City if I'm interested in startups?,Which people should I meet in New York City if I'm interested in tech startups?
FP,286445 3190cbc8-fa71-4cc3-88fd-61c340b75959,0,1,0.9230769230769231,medium-medium,Why are lenders obligated to report delinquencies under the Fair Credit Reporting Act?,Are lenders obligated to report delinquencies under the Fair Credit Reporting Act?
FP,287688 5cb2e2a1-5f09-4e93-89e4-7a5cfb44d702,0,1,0.9230769230769231,medium-medium,How do I convince youth to celebrate Indian festivals in the traditional way?,How do I convince youth to celebrate Indian festivals in traditional way?
FP,200013 35dbc53c-a998-4371-8725-75a59b2825f0,0,1,0.9166666666666666,medium-medium,Is anybody there who could work on ANSYS for an assignment?,Is anybody there who could work on ANSYS software for an assignment?
FP,78271 9f29cb4a-2142-4b6a-bc4a-bc0e569191e3,0,1,0.9166666666666666,long-long,"I am 17 now, how can I ""earn"" my first house or Lamborghini within 5 years? (One of my hobbies is Animation if that matters.)","I am 17 now, how can I ""earn"" my first house or Lamborghini within 5 years? (One of my hobbies is Animation if that matters.)?"
FP,94653 889b0222-0817-4202-b11e-6516fda8090b,0,1,0.9166666666666666,medium-medium,What is it like to be a big fish in a little pond?,What is it like to be a big fish in a big pond?
FP,204182 292d9766-40b6-476c-85ce-9a8f111a3bd1,0,1,0.9090909090909091,medium-medium,What is an intuitive explanation of the fractional quantum Hall effect?,What is an intuitive explanation of the Quantum Hall effect?
FP,130762 6fde0370-afa7-4d5e-8021-e0bc0c72040c,0,1,0.9090909090909091,medium-medium,Can I make a career out of investing in stocks?,How can I make a career out of investing in stocks?
FP,44935 15787afe-952d-4783-a5d2-57614b1a9794,0,1,0.9,medium-medium,How can I convert categorical data to continuous data?,How can I convert the categorical data to continuous data?
FP,180609 d53bd777-4c10-4b78-a1cc-630e538d9dd7,0,1,0.9,medium-medium,Why is Moses just the imaginary and only Jewish friend?,Why is Moses the imaginary and only Jewish friend?
FP,60746 55ab24d3-2582-4156-9b4f-58f1f50b6e4e,0,1,0.9,medium-medium,What are some of the innovative startups in India?,What are some of the new innovative startups in India?
FP,167046 578848f3-1abc-4f9d-be20-a5f86fa58018,0,1,0.9,medium-medium,Does losing one of the five senses enhance the others?,Does losing one of the five senses enhance the others? How?
FP,293452 a5102903-b318-4a8d-bddd-2ad5eb1cf801,0,1,0.8888888888888888,medium-medium,How do I convince my wife that I love her?,How do I convince my wife I love her?
FP,361582 0a73010a-c110-4f82-9173-561c5ebe49e0,0,1,0.8888888888888888,medium-medium,"I want to learn hacking, what should I do?","If I want to learn hacking, what should I do?"
FP,304816 b9e9654b-6e34-45dc-a7b6-9c018eb7362b,0,1,0.8888888888888888,long-long,What are the cons of self redevelopment of a cooperative housing society as opposed to giving the redevelopment contract to a builder?,What are the pros of self redevelopment of a cooperative housing society as opposed to giving the redevelopment contract to a builder?
FP,235826 b57dd942-3307-4154-b9a1-92013bf9fd7c,0,1,0.8888888888888888,medium-medium,How does the manual typewriter affect the quality of image?,How does the typewriter affect the quality of image?
FP,48971 28ba6073-57f9-4ea5-a19e-3a5fec2a0e76,0,1,0.8888888888888888,short-medium,How do I get rid of useless thoughts?,How do I get rid of obsessive useless thoughts?
FP,303151 b9c59662-a3c2-4e18-8330-45e357501bb1,0,1,0.8888888888888888,short-medium,What are the top job portals in India?,What are the top 10 job portals in India?
