error_type,id,label,pred,jaccard,length_bucket,sentence1,sentence2
FP,154886 c5a6626e-a1ce-4c39-b09c-8abd67f30496,0,1,1.0,short-short,What type of guys do girls like?,What type of girls do guys like?
FP,149351 d0e326d0-789d-49c0-8bec-297fef85ce87,0,1,1.0,medium-long,Is competitive bidding legal in industrial sector? If so are there any restrictions in doing so?,Is competitive bidding is legal in industrial sector? If so are there any restrictions in doing so?
FP,51611 4b9294c2-c4f9-4c8e-aea8-db47f8bb5242,0,1,1.0,medium-medium,What is the difference between eddy current loss & hysteresis loss?,What is the difference between Hysteresis loss & Eddy current loss?
FP,144862 eb60262e-eb8a-4afa-afae-4f25b3da6084,0,1,1.0,short-short,Do women cheat more than men?,Do more women cheat than men?
FP,99398 bb37b3c9-5a82-4932-8687-81e37539f0a0,0,1,1.0,medium-medium,What kind of Asian guys do White girls like?,What kind of Asian girls do White guys like?
FP,380819 94d88370-23c5-43f1-aeef-71d26c94b891,0,1,0.9375,medium-medium,How many hours should I charge my new Vivo X7 phone for the first time?,How many hours should I charge my new Vivo X7 phone for the first time? Request
FP,158615 5447c82d-9eb2-412e-8c26-dfcf02ecad52,0,1,0.9375,medium-medium,What new paradigms do you think may be significant in the future of interactive computing? [,What new paradigms do you think may be significant in the future of interactive computing?
FP,363926 a0069102-f0f0-4342-8909-a407165d7eb2,0,1,0.9285714285714286,medium-medium,What are the first signs of a homosexual person turning straight or bisexual?,What are the first signs of a straight person turning into a homosexual or bisexual?
FP,190305 ad4311db-040c-4961-8547-22249e8d5cf9,0,1,0.9285714285714286,medium-medium,Which people should I meet in New York City if I'm interested in startups?,Which people should I meet in New York City if I'm interested in tech startups?
FP,286445 3190cbc8-fa71-4cc3-88fd-61c340b75959,0,1,0.9230769230769231,medium-medium,Why are lenders obligated to report delinquencies under the Fair Credit Reporting Act?,Are lenders obligated to report delinquencies under the Fair Credit Reporting Act?
FP,287688 5cb2e2a1-5f09-4e93-89e4-7a5cfb44d702,0,1,0.9230769230769231,medium-medium,How do I convince youth to celebrate Indian festivals in the traditional way?,How do I convince youth to celebrate Indian festivals in traditional way?
FP,195246 200f769e-584b-4b7e-aca5-6cb8fb9531d2,0,1,0.9230769230769231,medium-medium,Which are the best Hindi (Bollywood) romantic songs for a couple dance?,Which are the best old Hindi (Bollywood) romantic songs for a couple dance?
FP,23441 894d55d3-f46b-4afa-a63e-0a3eeaa07d20,0,1,0.9230769230769231,medium-medium,How do I prepare a study timetable being a class 12 medical science student?,How do I prepare a study timetable being a class 12 science student?
FP,365180 e0fca3ec-232a-4def-918b-ffad7f810e6a,0,1,0.9166666666666666,medium-medium,Has anyone had an encounter with a caveman ghost in real life?,Has anyone had an encounter with a ghost in real life?
FP,78271 9f29cb4a-2142-4b6a-bc4a-bc0e569191e3,0,1,0.9166666666666666,long-long,"I am 17 now, how can I ""earn"" my first house or Lamborghini within 5 years? (One of my hobbies is Animation if that matters.)","I am 17 now, how can I ""earn"" my first house or Lamborghini within 5 years? (One of my hobbies is Animation if that matters.)?"
FP,200013 35dbc53c-a998-4371-8725-75a59b2825f0,0,1,0.9166666666666666,medium-medium,Is anybody there who could work on ANSYS for an assignment?,Is anybody there who could work on ANSYS software for an assignment?
FP,94653 889b0222-0817-4202-b11e-6516fda8090b,0,1,0.9166666666666666,medium-medium,What is it like to be a big fish in a little pond?,What is it like to be a big fish in a big pond?
FP,297993 d52ce6d1-dc37-4dff-af21-0b618ba41c49,0,1,0.9090909090909091,medium-medium,What is the difference between industrial engineering and industrial & systems engineering?,What is the difference between Systems Engineering and Industrial Engineering?
FP,130762 6fde0370-afa7-4d5e-8021-e0bc0c72040c,0,1,0.9090909090909091,medium-medium,Can I make a career out of investing in stocks?,How can I make a career out of investing in stocks?
FP,204182 292d9766-40b6-476c-85ce-9a8f111a3bd1,0,1,0.9090909090909091,medium-medium,What is an intuitive explanation of the fractional quantum Hall effect?,What is an intuitive explanation of the Quantum Hall effect?
FP,117929 c8d05f35-c66b-48fd-a7d7-2acdbe2e6d04,0,1,0.9,medium-medium,How do I connect a PC Bluetooth in Windows 10?,How do I connect a Bluetooth in Windows 10?
FP,44935 15787afe-952d-4783-a5d2-57614b1a9794,0,1,0.9,medium-medium,How can I convert categorical data to continuous data?,How can I convert the categorical data to continuous data?
FP,180609 d53bd777-4c10-4b78-a1cc-630e538d9dd7,0,1,0.9,medium-medium,Why is Moses just the imaginary and only Jewish friend?,Why is Moses the imaginary and only Jewish friend?
